id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating,point_diff,assist_turnover_ratio,home_win_pct,away_win_pct,home_advantage,conf_win_pct,scoring_efficiency,defensive_pressure
1,2021,1,Villanova,38,30,8,0.789,16,4,12.0,1.0,8.0,5.0,112.4,98.3,14.1,24.3,56.1,0.432,9.3,26.0,0.359,0.515,13.9,16.7,0.83,10.3,34.8,11.9,6.0,2.2,9.9,14.9,71.7,62.7,19.31,9.0,1.202020202020202,0.9230769230769231,0.6153846153846154,0.3076923076923077,0.8,1.2780748663101604,8.2
2,2021,2,Providence,33,27,6,0.818,14,3,16.0,1.0,7.0,2.0,106.4,98.5,7.9,24.5,56.3,0.435,7.4,21.4,0.344,0.5,15.2,20.8,0.728,10.5,37.6,13.2,5.0,3.7,11.4,16.0,71.5,66.2,13.08,5.299999999999997,1.157894736842105,0.9411764705882353,0.7777777777777778,0.1633986928104575,0.8235294117647058,1.2699822380106573,8.7
3,2021,3,UConn,33,23,10,0.697,13,6,14.0,2.0,5.0,5.0,109.9,95.9,14.0,26.7,61.2,0.435,7.4,21.1,0.352,0.496,14.1,18.7,0.753,13.8,40.4,14.0,5.9,6.4,11.8,16.8,74.8,65.3,16.4,9.5,1.1864406779661016,0.875,0.5,0.375,0.6842105263157895,1.222222222222222,12.3
4,2021,4,Creighton,35,23,12,0.657,12,7,11.0,4.0,6.0,5.0,100.5,96.4,4.1,25.6,57.2,0.448,6.7,21.8,0.308,0.506,11.3,15.3,0.738,9.6,38.1,13.3,5.5,4.3,14.1,13.6,69.2,66.4,11.34,2.799999999999997,0.9432624113475178,0.7333333333333333,0.5454545454545454,0.18787878787878787,0.631578947368421,1.2097902097902098,9.8
5,2021,5,Marquette,32,19,13,0.594,11,8,13.0,3.0,4.0,7.0,102.7,99.3,3.3,26.9,59.8,0.45,8.6,25.0,0.344,0.521,11.6,15.7,0.741,7.8,34.8,16.0,7.8,5.2,12.4,17.4,74.0,71.6,11.36,2.4000000000000057,1.2903225806451613,0.8125,0.36363636363636365,0.44886363636363635,0.5789473684210527,1.2374581939799332,13.0
6,2021,6,Seton Hall,32,21,11,0.656,11,8,13.0,3.0,6.0,5.0,104.3,96.3,8.0,25.3,60.2,0.42,7.3,21.6,0.338,0.481,14.1,18.8,0.753,12.1,38.5,10.3,7.1,5.4,12.1,15.6,71.9,66.4,12.75,5.5,0.8512396694214877,0.8125,0.5454545454545454,0.2670454545454546,0.5789473684210527,1.1943521594684385,12.5
7,2021,7,St. John's (NY),32,17,15,0.531,8,11,12.0,7.0,4.0,7.0,106.4,99.2,7.3,30.3,66.8,0.453,7.3,21.6,0.335,0.508,11.8,17.4,0.677,12.0,37.8,18.8,8.8,5.5,11.9,17.9,79.6,74.2,11.95,5.3999999999999915,1.5798319327731092,0.631578947368421,0.36363636363636365,0.26794258373205737,0.42105263157894735,1.1916167664670658,14.3
8,2021,8,Xavier,36,23,13,0.639,8,11,16.0,5.0,4.0,6.0,105.8,98.8,7.0,26.5,58.7,0.451,6.7,20.9,0.322,0.509,14.4,20.7,0.698,10.3,37.1,14.8,7.5,4.3,11.7,15.4,74.1,69.2,13.23,4.8999999999999915,1.2649572649572651,0.7619047619047619,0.4,0.36190476190476184,0.42105263157894735,1.2623509369676318,11.8
9,2021,9,Butler,33,14,19,0.424,6,14,9.0,7.0,3.0,8.0,97.2,101.9,0.0,22.7,54.5,0.416,6.9,22.8,0.305,0.48,11.5,16.5,0.696,9.0,32.8,11.0,5.2,2.4,12.0,16.7,63.8,66.9,4.45,-3.1000000000000085,0.9166666666666666,0.5625,0.2727272727272727,0.2897727272727273,0.3,1.1706422018348623,7.6
10,2021,10,DePaul,31,15,16,0.484,6,14,11.0,7.0,4.0,8.0,103.7,102.2,1.6,26.3,60.7,0.433,6.6,20.8,0.317,0.488,14.1,20.3,0.693,11.8,38.5,11.4,6.2,5.0,12.3,15.7,73.3,72.2,7.83,1.0999999999999943,0.9268292682926829,0.6111111111111112,0.3333333333333333,0.27777777777777785,0.3,1.2075782537067545,11.2
